,ds,yhat,yhat_lower,yhat_upper
1227,2022-08-10,1794.196927522977,1591.6120805245089,2025.3227068455528
1228,2022-08-11,1825.0726528278913,1601.350794449063,2046.1263171706523
1229,2022-08-12,1804.8149952335582,1575.3056279300913,2042.3790624385756
1230,2022-08-13,1830.4427270962901,1598.7275555196038,2058.316054517257
1232,2022-08-15,1887.3929356671704,1660.9251666547655,2117.381088540751
1233,2022-08-16,1861.0155097024744,1639.9609118660974,2083.2759809643608
1234,2022-08-17,1831.7704319326774,1602.0201920112013,2050.1376147412884
1235,2022-08-18,1856.5255693430458,1641.4717232189237,2082.0581714019686
1236,2022-08-19,1831.4670761341217,1595.7881928310749,2040.7849922024502
1237,2022-08-20,1854.511770536569,1603.032189057778,2087.7219620297883
