,ds,yhat,yhat_lower,yhat_upper
1372,2022-08-10,1900.4696617374025,1345.7064621178124,2476.4225245111634
1373,2022-08-11,1888.9105589950382,1331.3693101870936,2404.530581798687
1374,2022-08-12,1932.2833528939152,1404.5883110402283,2456.3501259399336
1375,2022-08-13,1924.7782208022957,1394.3193779658427,2426.347257435489
1377,2022-08-15,2026.7393407399318,1474.6266640699255,2550.390755164525
1378,2022-08-16,1979.345548472195,1442.5236138644384,2520.7020746843436
1379,2022-08-17,2013.1145464733986,1454.1381783517652,2552.7800709900175
1380,2022-08-18,2003.1108850688988,1479.2213882507795,2529.5713451753
1381,2022-08-19,2047.4956220305664,1509.3480391537162,2582.261962461577
1382,2022-08-20,2039.872390934521,1507.1001918127174,2556.1634090421194
