,ds,yhat,yhat_lower,yhat_upper
1311,2022-08-11,3017.936254606545,2166.3557258763685,3988.1344830434236
1312,2022-08-12,3134.8887575821796,2202.47344953641,4110.976915669622
1313,2022-08-13,3090.4353725014903,2119.682335820619,4008.797408437091
1315,2022-08-15,3267.800233770951,2260.7675907787875,4270.712250385001
1316,2022-08-16,3258.723828470763,2352.7135380175937,4260.098812518628
1317,2022-08-17,3227.060521093311,2313.84519036984,4177.008123626441
1318,2022-08-18,3260.4106675069515,2324.837191889697,4129.989317835178
1319,2022-08-19,3406.3111266412416,2472.4138967425984,4357.661362906832
1320,2022-08-20,3386.7627022561337,2459.6422262741485,4292.836730439129
1322,2022-08-22,3605.6381969828967,2648.6401787165787,4481.363469781134
