,ds,yhat,yhat_lower,yhat_upper
1372,2022-08-11,1912.9931514695072,1675.7315616645265,2149.4784442929163
1373,2022-08-12,1874.6922533405636,1634.612914040208,2122.6271267447137
1374,2022-08-13,1908.4782602029172,1668.6579063650618,2157.189415805585
1376,2022-08-15,1887.7052348447007,1649.3509264208124,2134.946749100751
1377,2022-08-16,1919.1073434719594,1670.273700773201,2159.7835888523014
1378,2022-08-17,1994.0841444127211,1751.651489463588,2245.6160398115103
1379,2022-08-18,2020.0983558212715,1765.108936391718,2268.476306993713
1380,2022-08-19,1990.6812104852472,1742.4842223174578,2241.8530534585666
1381,2022-08-20,2033.3132225234817,1802.3640001623044,2286.2284755042765
1383,2022-08-22,2029.0029012601933,1782.4456115074886,2278.2338049186037
