,ds,yhat,yhat_lower,yhat_upper
1306,2022-08-11,1717.834642383145,1595.679937920608,1844.649266702474
1307,2022-08-12,1717.910743133977,1605.0491307052255,1837.5253972257888
1308,2022-08-13,1740.3211250765173,1614.912993123485,1863.5382266346671
1310,2022-08-15,1794.0705949682194,1672.65826496531,1927.2752773681057
1311,2022-08-16,1795.2403674653112,1665.1843908613912,1917.7340500471157
1312,2022-08-17,1819.3130655895905,1700.7328505727912,1944.0583207899808
1313,2022-08-18,1834.287707628963,1706.7565784838766,1960.7509719476236
1314,2022-08-19,1826.082047626543,1694.5000542208163,1944.57823163804
1315,2022-08-20,1839.9904622007202,1723.7208967357312,1966.6185753272478
1317,2022-08-22,1876.054901199516,1750.613453239568,1996.416878829365
