,ds,yhat,yhat_lower,yhat_upper
1355,2022-08-12,2257.395875572789,1835.5369459848205,2667.992593513824
1356,2022-08-13,2271.53988007259,1864.82590787094,2711.4215340946002
1358,2022-08-15,2181.385520688207,1737.2539516288766,2586.2564515318163
1359,2022-08-16,2197.431468724354,1769.1586241207006,2627.1593730088593
1360,2022-08-17,2219.3591313460356,1804.328960253462,2655.8912644898355
1361,2022-08-18,2265.206985739453,1818.4117904978743,2689.8343908024217
1362,2022-08-19,2237.118631531862,1796.89239538534,2671.8316684605234
1363,2022-08-20,2261.6093919247573,1844.3186063037065,2687.275377990659
1365,2022-08-22,2187.63113419403,1736.9769486335906,2611.672871562538
1366,2022-08-23,2209.316608787603,1807.0910918265984,2628.2812137266924
