,ds,yhat,yhat_lower,yhat_upper
1269,2022-08-12,6284.181318755874,5052.848168223599,7493.985818435141
1270,2022-08-13,6316.026977990411,5101.2993869032025,7593.370415960584
1272,2022-08-15,6317.110188848186,5114.0108277849395,7410.381240147518
1273,2022-08-16,6164.675715031275,4995.162125505694,7318.657179598188
1274,2022-08-17,5992.393540377376,4768.2776069291185,7175.654707163105
1275,2022-08-18,5883.119121208821,4704.08175717093,7049.431513247702
1276,2022-08-19,5824.91509485086,4662.806703350005,7046.797668171808
1277,2022-08-20,5782.426182582136,4640.92179601128,6947.664116980403
1279,2022-08-22,5680.363785169339,4503.385412528929,6793.2291667482405
1280,2022-08-23,5501.537609296451,4227.6425669116525,6706.522769111808
