,ds,yhat,yhat_lower,yhat_upper
1312,2022-08-12,1217.3896718059902,1101.6581090735747,1331.0014201945087
1313,2022-08-13,1213.5395807469597,1090.2810690444553,1325.861811849026
1315,2022-08-15,1221.2601678098033,1108.0581708930124,1338.7904703250906
1316,2022-08-16,1228.7539776540727,1095.8108742663164,1346.5515268041868
1317,2022-08-17,1235.9856615041022,1121.777697569543,1342.4677232057493
1318,2022-08-18,1225.3538409482458,1115.7088245231444,1345.684413883499
1319,2022-08-19,1228.5209141175549,1113.0166454270886,1341.4189161378529
1320,2022-08-20,1224.5254342786052,1111.1598607151561,1351.4826414598183
1322,2022-08-22,1231.4987912540566,1112.9696967675764,1354.829275109656
1323,2022-08-23,1238.276689659213,1123.1521112875066,1356.9068016353565
