,ds,yhat,yhat_lower,yhat_upper
1361,2022-08-12,2153.0629155224156,1759.956584886502,2563.7934006845194
1362,2022-08-13,2047.0659132340215,1662.0920108851703,2428.498435314515
1364,2022-08-15,2127.5721397667407,1729.4082894141216,2509.8014729957995
1365,2022-08-16,2092.150300886997,1699.0709451843052,2517.7794172689923
1366,2022-08-17,2175.7878499788644,1780.0907629306848,2581.798841062383
1367,2022-08-18,2286.5135398761317,1889.7381650829423,2647.8012130544053
1368,2022-08-19,2395.3255596086988,2031.0483031285492,2806.6471609589676
1369,2022-08-20,2380.093872523361,1971.2042057417605,2776.347739263188
1371,2022-08-22,2646.141328858121,2248.2807835806793,3018.445391065916
1372,2022-08-23,2699.6586147747093,2276.4500923750256,3081.556637390436
