,ds,yhat,yhat_lower,yhat_upper
1358,2022-08-12,3886.11805991806,-1477.0140150548484,8724.886346436979
1359,2022-08-13,3608.8208893581145,-1430.4216810105859,8709.745170512586
1361,2022-08-15,3961.719236073992,-1091.6655126514493,9371.29629057481
1362,2022-08-16,4694.0225738721865,-395.0931516582299,9779.022972231827
1363,2022-08-17,4254.836565169276,-1053.1740188719602,9527.84897901801
1364,2022-08-18,4411.183303826964,-430.95770809819373,9572.285228061513
1365,2022-08-19,4244.783085118079,-807.5803234559418,9496.45247319196
1366,2022-08-20,3939.8207202817894,-1017.1429876197694,8939.241211589067
1368,2022-08-22,4214.302011195921,-1189.9275078302564,9121.961201540873
1369,2022-08-23,4897.496359959347,-331.7408104659285,10222.07372386087
