,ds,yhat,yhat_lower,yhat_upper
1309,2022-08-15,11262.393503255158,9496.244402292832,13004.411775802868
1310,2022-08-16,11756.944260520593,9982.631501022981,13428.87603148125
1311,2022-08-17,11819.188188668813,9986.469932538097,13603.399443708424
1312,2022-08-18,11655.136612750995,9817.784836163797,13422.246305583214
1313,2022-08-19,11996.398125976155,10354.487962452973,13758.276807709346
1314,2022-08-20,12053.989587370037,10275.1687081423,13877.007297052323
1316,2022-08-22,11985.533447668538,10155.88963723765,13654.176680204106
1317,2022-08-23,12442.334377883059,10606.256876432557,14037.818038086156
1318,2022-08-24,12456.720441830636,10799.916910365342,14168.360684411533
1319,2022-08-25,12235.526409075734,10504.113820474335,14019.37380702278
