,ds,yhat,yhat_lower,yhat_upper
1336,2022-08-15,5393.596497463926,4074.753449547658,6814.620071453448
1337,2022-08-16,5606.119105002257,4203.140368663167,7024.4604811058425
1338,2022-08-17,5480.652809191829,4271.227797347461,6958.00137060379
1339,2022-08-18,5370.95425584643,3901.7673990314083,6839.281237073792
1340,2022-08-19,5369.267781980471,4062.4304485497537,6703.636159408587
1341,2022-08-20,5246.335875099562,3805.573076804293,6691.171859954276
1343,2022-08-22,5197.268975104786,3830.1916117068845,6525.195202353822
1344,2022-08-23,5393.953019302171,4041.202921129531,6852.013769574334
1345,2022-08-24,5260.715525231521,3841.192486989458,6666.581044752929
1346,2022-08-25,5151.042550590251,3847.0252497972274,6723.486099542329
