,ds,yhat,yhat_lower,yhat_upper
1332,2022-08-16,1386.9598805729936,1249.784785986267,1534.1013606528866
1333,2022-08-17,1385.1423622318196,1243.5861138815967,1515.1564190914105
1334,2022-08-18,1408.784110757775,1261.181601008438,1547.0424118504704
1335,2022-08-19,1418.172761650375,1267.8352088599488,1559.8159389301948
1336,2022-08-20,1332.4595050830058,1199.4190985366877,1468.7503670026074
1338,2022-08-22,1514.9879393147974,1369.486232105103,1658.8429377563768
1339,2022-08-23,1460.9291420692566,1331.6436541486203,1613.4797113662444
1340,2022-08-24,1456.6329008931543,1309.0974294228456,1590.4224194277774
1341,2022-08-25,1477.9928407473765,1338.5317664903548,1616.1483023377355
1342,2022-08-26,1485.0515619809803,1332.1457499830544,1623.5062626652584
