,ds,yhat,yhat_lower,yhat_upper
1371,2022-08-16,2614.327493135132,1308.058997918314,4003.2220275909863
1372,2022-08-17,2609.441210045617,1283.0456414939629,4006.290800783011
1373,2022-08-18,2631.6491098978595,1337.170070983727,4029.519547737895
1374,2022-08-19,2832.428462728413,1502.0378773764103,4183.1566156069875
1375,2022-08-20,2844.4360907384093,1596.7561648414603,4271.252219207144
1377,2022-08-22,2841.813510847405,1525.4732571872094,4201.900805324355
1378,2022-08-23,2766.8349544389903,1452.007990254077,4211.312624510595
1379,2022-08-24,2719.5267044721363,1355.461716072948,4105.14708500821
1380,2022-08-25,2696.1826747000914,1272.5126161431556,4057.779258327501
1381,2022-08-26,2849.5868850720426,1484.1151460712429,4177.25661216249
