,ds,yhat,yhat_lower,yhat_upper
1315,2022-08-16,993.704590191709,894.0757530509906,1110.168603505557
1316,2022-08-17,1015.6978741450192,910.7237366181548,1122.1420236464814
1317,2022-08-18,1032.960834922182,924.2781590787013,1132.3621387649725
1318,2022-08-19,1047.105221437513,939.7754965983039,1149.87963135575
1319,2022-08-20,1048.8411879347027,941.4021873975208,1150.1729975438727
1321,2022-08-22,1111.4723089457802,1001.6535154379857,1209.4138012493481
1322,2022-08-23,1129.8655918188117,1031.8865181460442,1230.583653891675
1323,2022-08-24,1155.6145386082371,1046.5765018929594,1255.5945245623236
1324,2022-08-25,1175.6911515366949,1069.2375806687853,1272.2387593679166
1325,2022-08-26,1191.6506860358625,1087.7100480681827,1299.0143595334248
