,ds,yhat,yhat_lower,yhat_upper
1225,2022-08-16,7490.431445061242,6963.044859475878,8061.951335441641
1226,2022-08-17,7507.992636435182,6963.6841503028945,8085.895219071178
1227,2022-08-18,7459.48215903103,6923.391367266127,8046.479354010826
1228,2022-08-19,7409.613037754102,6869.607666242474,8016.398384425521
1229,2022-08-20,7418.511418507248,6869.320702608658,8039.0331969286035
1231,2022-08-22,7525.994239984618,6951.021497800701,8109.757922465758
1232,2022-08-23,7403.457394711158,6866.874965012488,7950.160800719977
1233,2022-08-24,7416.421283754742,6834.908259067588,7992.084206761148
1234,2022-08-25,7369.377500072359,6812.735789742191,7939.033167129566
1235,2022-08-26,7326.217176284389,6798.591860444254,7892.199838888274
