,ds,yhat,yhat_lower,yhat_upper
1339,2022-08-17,7714.8619045650985,6795.303754775426,8564.021299307711
1340,2022-08-18,7942.379179290362,7019.060008177678,8823.918063327104
1341,2022-08-19,8233.284092748216,7346.7225175969215,9071.120144272885
1342,2022-08-20,8569.968004371334,7675.94806784047,9450.77585954128
1344,2022-08-22,9405.74710483988,8538.715964989036,10328.732881959206
1345,2022-08-23,9166.762167241646,8251.317975130212,10027.930825615074
1346,2022-08-24,9206.184465071405,8312.34416489631,10157.577294084524
1347,2022-08-25,9369.719488277666,8461.16094080368,10319.293756226918
1348,2022-08-26,9593.08380019458,8715.837590960622,10490.801384114222
1349,2022-08-27,9858.741413586693,8919.576984539233,10788.15890525086
