,ds,yhat,yhat_lower,yhat_upper
1374,2022-08-17,2228.3508422647783,1786.9439697399134,2640.094075932673
1375,2022-08-18,2231.8856820347187,1768.1582125408383,2659.043375074593
1376,2022-08-19,2252.1248212069568,1779.4933989445797,2725.2666039895325
1377,2022-08-20,2186.785390354105,1751.444128726618,2597.5469703259846
1379,2022-08-22,2218.498967329142,1782.6306429985016,2662.600108815698
1380,2022-08-23,2231.186486072184,1807.249225334684,2648.0998126005793
1381,2022-08-24,2265.6312035689116,1829.8876416193061,2701.3617837468973
1382,2022-08-25,2289.539972393038,1842.4809716980315,2717.7649789275038
1383,2022-08-26,2335.401544802759,1876.7744235174348,2757.077290687759
1384,2022-08-27,2299.718055867287,1869.3511082956745,2747.591264643733
