,ds,yhat,yhat_lower,yhat_upper
1378,2022-08-19,15602.36230509893,6882.320228248394,23943.262621444796
1381,2022-08-22,15613.572118193651,6482.750937446785,23944.66508232246
1382,2022-08-23,15783.45593347713,7036.156584701554,25111.754790382365
1383,2022-08-24,15142.138315430782,5973.76982290803,24094.960801163263
1384,2022-08-25,15726.954978225385,7299.442461935883,24232.306268497407
1385,2022-08-26,15179.624667944983,6716.083031442913,23410.89623648346
1388,2022-08-29,15036.769477999911,6181.818361203721,24232.83210287915
1389,2022-08-30,15169.088991546574,6357.020591515076,23995.13432256439
1390,2022-08-31,14497.148496415206,5645.736763592991,23407.60158404229
1391,2022-09-01,15056.819455586521,5633.251043534806,24201.12924317425
