,ds,yhat,yhat_lower,yhat_upper
1378,2022-08-19,2513.4068012275793,2181.766707763081,2859.4233650006413
1381,2022-08-22,2653.529963683534,2333.3938853943687,2993.156804060563
1382,2022-08-23,2569.1791594024307,2252.3619475139753,2893.546796180878
1383,2022-08-24,2518.646564519076,2192.003546465451,2816.213488445851
1384,2022-08-25,2517.9651838718573,2205.980128521584,2832.3230179280126
1385,2022-08-26,2546.8001663883847,2189.745282152347,2866.3522730251084
1388,2022-08-29,2695.28251565848,2380.465310198946,3021.2986523213385
1389,2022-08-30,2616.912827426247,2294.5650330194485,2919.267500985577
1390,2022-08-31,2573.900208410641,2255.708967573142,2903.5772099842698
1391,2022-09-01,2581.9245282670695,2249.7682942880806,2913.632624068301
