,ds,yhat,yhat_lower,yhat_upper
1378,2022-08-19,2764.349905469236,2218.1384561233244,3282.0285902254227
1381,2022-08-22,2963.385078543213,2398.430439255013,3516.3998320062574
1382,2022-08-23,2946.587685327826,2409.4419456226306,3474.8914163399486
1383,2022-08-24,2882.246666710259,2371.178095856542,3449.3091921064174
1384,2022-08-25,2881.0115144227557,2349.6902031550444,3365.776731398327
1385,2022-08-26,2970.488038634418,2442.3343980995205,3496.960871151627
1388,2022-08-29,3308.8802449741506,2734.5878183086566,3821.8262406064355
1389,2022-08-30,3342.929004949502,2826.8731058292756,3849.658037153936
1390,2022-08-31,3329.6755515839955,2810.3168268173345,3885.9811988961765
1391,2022-09-01,3378.56593943958,2810.0404097480573,3921.1910265144456
