,ds,yhat,yhat_lower,yhat_upper
1378,2022-08-19,2415.9533412804,2020.1289074809513,2826.8762739615736
1381,2022-08-22,2496.6647010487195,2086.54445653677,2916.618484748028
1382,2022-08-23,2421.139854616898,2029.4986038910909,2831.2922478820433
1383,2022-08-24,2428.77249195271,2035.7712457877135,2856.498971475562
1384,2022-08-25,2447.8560154563065,2062.7793733796607,2856.9419809533338
1385,2022-08-26,2443.1519920472015,1984.224642736366,2862.3046108040517
1388,2022-08-29,2528.084167018378,2110.9680350845533,2968.9197006936056
1389,2022-08-30,2456.4843073829784,2050.714426834325,2878.1635086806828
1390,2022-08-31,2469.1965650428083,2031.3693064276613,2855.9031577570436
1391,2022-09-01,2493.5778052418227,2069.303503921466,2906.728124865407
