,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,3195.469084796568,2678.9152929938136,3706.642620271136
1382,2022-08-23,3259.7003457004316,2755.044212993595,3784.2399080418013
1383,2022-08-24,3333.580431740331,2811.9103552072406,3817.8967910276688
1384,2022-08-25,3386.144153549101,2893.7802789775947,3847.44244801007
1385,2022-08-26,3468.977635576318,3000.8117633939546,3983.9963537280846
1388,2022-08-29,3398.1869107944467,2904.3228924848377,3879.5819696784606
1389,2022-08-30,3453.303320485202,2949.0789406611375,3941.7627783741586
1390,2022-08-31,3519.1098475109275,3035.145851341435,4033.827791761921
1391,2022-09-01,3564.174107210833,3051.5126434031176,4050.9214388422615
1392,2022-09-02,3640.3024448395186,3145.8202477839322,4123.605506655563
