,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,4521.461807970276,3747.444611388064,5245.706465260263
1382,2022-08-23,4624.208339420264,3851.6939608084367,5330.281254004506
1383,2022-08-24,4749.204856675835,3968.7056203887787,5511.144358491806
1384,2022-08-25,4728.05042935545,3960.366997578782,5527.900993070119
1385,2022-08-26,4599.493307151433,3881.4939176356716,5321.629027672951
1388,2022-08-29,4575.795464596324,3832.980933314263,5324.4502583705225
1389,2022-08-30,4680.8103855875,3952.3386514412737,5455.346251408232
1390,2022-08-31,4807.681881748575,4010.3556866712233,5503.625256938769
1391,2022-09-01,4788.311097469756,4052.28765428051,5568.333534884671
1392,2022-09-02,4661.287386894832,3922.0442923106957,5437.015021898121
