,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,5928.230511687347,4947.222113832146,6886.4162864228565
1382,2022-08-23,6099.277130456636,5157.253019372447,7085.760058127285
1383,2022-08-24,6004.062507869308,5064.317600868769,6989.240226843488
1384,2022-08-25,5941.9774781014385,4992.038578135062,6945.572605940277
1385,2022-08-26,6016.163394783186,5015.722004174116,7045.115607834305
1388,2022-08-29,6443.557833556291,5425.0471627079,7400.711568985253
1389,2022-08-30,6641.89090076761,5719.921811359018,7529.075471907417
1390,2022-08-31,6578.939372739486,5654.156349736543,7600.895801344404
1391,2022-09-01,6555.198299164382,5614.07888690186,7472.126326030604
1392,2022-09-02,6673.078590229054,5821.505186973986,7579.6787937629915
