,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,1759.9485027632415,1425.882739815461,2123.669872181945
1382,2022-08-23,1677.7875442294728,1317.844948567857,2036.1822083539732
1383,2022-08-24,1688.4562228861982,1337.7382050408291,2042.642256878755
1384,2022-08-25,1696.3697003798882,1341.9487163291146,2029.9706247983347
1385,2022-08-26,1684.4498603498996,1362.7077813954022,2051.2701163316065
1388,2022-08-29,1752.5186156987013,1407.5282282391706,2084.480759049748
1389,2022-08-30,1709.2085063035424,1380.4729468668647,2035.9143034501112
1390,2022-08-31,1757.0258203378387,1415.824353611624,2103.5517402827436
1391,2022-09-01,1800.4217984633628,1452.346365596808,2150.2131680645484
1392,2022-09-02,1821.724408283472,1477.8214882625657,2161.803843037433
