,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,4807.4360872274565,3967.4599003980115,5686.33915359757
1382,2022-08-23,4958.4645569808945,4205.238584584094,5803.874513297767
1383,2022-08-24,5074.575033727687,4182.502585349844,5849.9437056078
1384,2022-08-25,5103.780076271751,4257.213616459102,5912.837337692418
1385,2022-08-26,5358.889845523424,4549.520095823947,6260.5680051644085
1388,2022-08-29,6314.403919074513,5486.450527698023,7161.118061244704
1389,2022-08-30,6497.556930852267,5642.171132099969,7315.243037321146
1390,2022-08-31,6634.680915766621,5819.53546883114,7465.916630523976
1391,2022-09-01,6672.370342508509,5867.320807367231,7462.527740207702
1392,2022-09-02,6927.0167835380435,6090.81792430814,7790.279913558915
