,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,7067.263818207258,1485.2939009165784,12140.085794422039
1382,2022-08-23,6790.014612215668,1510.7645806510504,12344.933704591342
1383,2022-08-24,7220.002387034545,1626.309434193481,12689.294441135962
1384,2022-08-25,7624.342949664263,2351.8233245418,12310.354981830702
1385,2022-08-26,7718.0094502993425,2568.123154013739,12828.150821073961
1388,2022-08-29,7297.429487076989,2030.115994090021,12578.115945253498
1389,2022-08-30,7138.998357338004,2102.981704978794,12482.898034696316
1390,2022-08-31,7692.022659412083,2235.135703250771,12807.208047302738
1391,2022-09-01,8217.779841185398,2579.9059288822823,13791.128900037056
1392,2022-09-02,8427.795699929982,3079.0588620161866,13680.599595344285
