,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,961.8060227944143,688.4109912235033,1239.5397016752295
1382,2022-08-23,915.75977803875,630.9256679834489,1207.2581464897626
1383,2022-08-24,926.2933881265362,662.4112786085999,1210.7585576483496
1384,2022-08-25,900.5755493316022,598.4941582254124,1192.5317208351412
1385,2022-08-26,905.2410297080113,618.9609341008552,1199.5686238453188
1388,2022-08-29,915.9483793622704,650.5339685352071,1198.4449118310565
1389,2022-08-30,875.100238921461,609.1518085879597,1155.136680817395
1390,2022-08-31,888.6876564927459,606.9186633736422,1156.9758208359053
1391,2022-09-01,866.1387815113734,597.493961410123,1128.247286777284
1392,2022-09-02,872.3343105431502,573.833799852406,1136.1888788563313
