,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,997.982641756096,757.9135401229331,1231.8186745156672
1382,2022-08-23,967.4482511904957,737.9816461945759,1217.8358727146185
1383,2022-08-24,943.1823958170827,717.6911180385308,1174.2125884649524
1384,2022-08-25,940.5703716554792,709.3493553622753,1174.6084126228911
1385,2022-08-26,952.6906996045907,731.0816972069049,1183.022696082769
1388,2022-08-29,1020.2030372040808,783.5583492563075,1259.033658508403
1389,2022-08-30,994.4512234972611,760.8500463611272,1229.144316746222
1390,2022-08-31,975.226106345838,731.6014283468024,1211.2395299547975
1391,2022-09-01,977.9765202251223,740.5010610509344,1207.7842276911394
1392,2022-09-02,995.5734888740492,770.9816961957578,1227.4120906926466
