,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,15545.80876071301,9779.96955040645,21393.554465304354
1382,2022-08-23,16161.74465228626,10443.869380889657,21796.112114278363
1383,2022-08-24,15706.266840678656,10060.178804869342,20977.772357885064
1384,2022-08-25,16217.728074061293,10728.727536038281,22140.22085819856
1385,2022-08-26,16207.900710036347,10806.800185985907,21674.020171277534
1388,2022-08-29,14614.081844636119,9084.087463668438,20031.64460251229
1389,2022-08-30,14875.049959948541,9841.475418774093,20617.970369137547
1390,2022-08-31,14054.441234697148,8485.700611104407,19605.194075920932
1391,2022-09-01,14209.520088901734,8591.48172769167,19537.37931529886
1392,2022-09-02,13849.794437541454,8246.33445762213,19503.638007435206
