,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,4819.838293983612,4013.300306673745,5600.969987217114
1382,2022-08-23,4839.491740025106,4018.3328069604654,5658.964285769058
1383,2022-08-24,4977.148036313861,4173.4819565182,5779.214788011492
1384,2022-08-25,5068.222879419428,4256.703564007869,5866.124949183068
1385,2022-08-26,5263.81458141789,4494.486828986526,6107.208206778149
1388,2022-08-29,5643.481038358333,4834.50704594557,6495.633009025829
1389,2022-08-30,5655.681250009611,4834.000939901088,6502.786908704059
1390,2022-08-31,5777.20204701321,4944.608564128235,6615.776676027429
1391,2022-09-01,5843.0886838894885,5026.118993033659,6637.631818994028
1392,2022-09-02,6005.859447896447,5183.906840434726,6779.23171010708
