,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,5287.497274684606,3958.1925912318065,6597.204013594817
1382,2022-08-23,5278.009409137898,4017.7845635720905,6544.796697173051
1383,2022-08-24,5282.100786065883,4038.7316197924947,6629.273906034135
1384,2022-08-25,5267.078564377375,3951.9599969762135,6517.7339251802205
1385,2022-08-26,5247.878577684687,3973.4790468826986,6467.855985003407
1388,2022-08-29,5388.246538226141,4122.887288640705,6598.392573087258
1389,2022-08-30,5388.29350880705,4147.636721167711,6695.575323028467
1390,2022-08-31,5403.393671601197,4146.30568836303,6581.119189594141
1391,2022-09-01,5400.206121605547,4174.026011324048,6705.371586234224
1392,2022-09-02,5393.117276829622,4117.138588126532,6602.569229773177
