,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,2382.2127024165998,1969.102855374366,2777.3984756755194
1382,2022-08-23,2400.3046460597648,1981.1887684527276,2805.147488143453
1383,2022-08-24,2373.741144124184,1993.894901909045,2780.1086137561506
1384,2022-08-25,2360.7166612880114,1954.8693988884477,2792.4362565314455
1385,2022-08-26,2405.280218788462,1981.1311008224338,2823.254021101369
1388,2022-08-29,2756.2664870076646,2356.076299879447,3183.0878044107662
1389,2022-08-30,2802.4669923201636,2385.413495692932,3214.4747319411454
1390,2022-08-31,2801.3757271005425,2371.449296310177,3213.4824030948416
1391,2022-09-01,2810.679922434611,2399.8846603783254,3206.2607206245634
1392,2022-09-02,2873.915566501883,2483.9275728342936,3264.008163119256
