,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,6416.380688959125,5403.428954950105,7434.979593250295
1382,2022-08-23,6291.624340978209,5341.019685687998,7263.468968179878
1383,2022-08-24,6391.11624556643,5407.641048778775,7388.830161193069
1384,2022-08-25,6405.186398328272,5401.731958371649,7386.547589029152
1385,2022-08-26,6435.201556165906,5473.498432527612,7444.366758915526
1388,2022-08-29,6500.803460004791,5514.840813065934,7424.956850251308
1389,2022-08-30,6409.5585540032935,5428.422458319767,7346.281142636862
1390,2022-08-31,6539.530787190204,5600.842767381922,7525.134966547487
1391,2022-09-01,6580.250857581921,5588.132597307656,7523.918179806502
1392,2022-09-02,6633.258364904446,5640.065821909439,7640.948382023809
