,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,3235.5275184619086,2857.875012893397,3587.2796520508105
1382,2022-08-23,3240.55595966364,2877.512034945489,3633.722936572208
1383,2022-08-24,3331.36545175812,2920.75646157108,3723.833893519498
1384,2022-08-25,3317.1699462978777,2924.881668364674,3663.6031411910735
1385,2022-08-26,3330.6113836046584,2970.914604406801,3695.9756726059686
1388,2022-08-29,3536.4713317823307,3149.729893250931,3897.289314075943
1389,2022-08-30,3550.9202850967413,3160.32074599987,3887.0821907236336
1390,2022-08-31,3650.541530023535,3294.6624895971036,4025.762272240637
1391,2022-09-01,3642.8596265282285,3261.2313392020988,4011.255203904952
1392,2022-09-02,3661.667274078837,3271.8544881643593,4033.8801553122107
