,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-22,8569.564009058278,6857.229516318709,10250.859160180764
1382,2022-08-23,8648.339143459492,7029.491961436903,10271.094085285053
1383,2022-08-24,8717.488608047157,7155.55746054335,10374.039307127856
1384,2022-08-25,8642.270105045016,7025.084851689127,10308.3524346005
1385,2022-08-26,8903.312540051726,7325.436930327528,10623.32079619883
1388,2022-08-29,9376.837290078423,7741.080294914108,10945.308416301938
1389,2022-08-30,9561.449175754908,7986.349705521796,11228.921870893932
1390,2022-08-31,9731.707369095313,8070.41373663247,11351.334958829653
1391,2022-09-01,9749.234049593251,8192.179186596084,11421.687324214157
1392,2022-09-02,10090.493621959178,8448.113704646352,11656.15389905833
