,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-23,1905.3627484145334,1778.884284353082,2030.8186659455332
1382,2022-08-24,1936.9316356837278,1807.2757669279283,2067.0163744584283
1383,2022-08-25,1935.1358559941066,1822.7332503806094,2061.2756879036347
1384,2022-08-26,1967.2947880667189,1832.2670669677034,2091.0611169226195
1387,2022-08-29,2023.2392948588345,1898.3504640825838,2153.4691232626355
1388,2022-08-30,2077.4762422154263,1950.7103085925407,2210.830279529633
1389,2022-08-31,2107.961390008374,1985.335940894856,2233.906519370589
1390,2022-09-01,2103.759786703082,1978.5668236319132,2228.7000603644437
1391,2022-09-02,2132.5339474456805,2003.0494202052782,2266.411650159823
1394,2022-09-05,2171.9852598037683,2042.9220993503573,2303.0440730401174
