,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-23,4567.092377272039,2906.6030061930924,6017.806373732759
1382,2022-08-24,4063.7971149072914,2388.2233798001903,5653.815390342283
1383,2022-08-25,4342.072583103148,2652.635917521734,5995.8234491924795
1384,2022-08-26,4067.1905470588713,2459.772597947415,5741.533746688342
1387,2022-08-29,4180.632492334764,2596.226554126024,5647.488384278173
1388,2022-08-30,4444.916723750534,2830.4495140456224,6130.0378840788435
1389,2022-08-31,3941.1286242037913,2259.555224574112,5488.17494793898
1390,2022-09-01,4218.889010555634,2626.0844617289413,5770.571797695103
1391,2022-09-02,3941.295319947219,2390.0784678619916,5692.1758446864615
1394,2022-09-05,4045.3734053235007,2415.419566701007,5616.420807607749
