,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-23,3134.952613416975,2827.9933017232465,3433.7935121685514
1382,2022-08-24,3176.3718435939168,2851.6165923349104,3472.3029333595587
1383,2022-08-25,3175.7741996550926,2843.5141974209273,3491.409842442785
1384,2022-08-26,3258.671784122632,2937.2941309484495,3562.207934866789
1387,2022-08-29,3404.500802084487,3076.0935290096054,3715.5633740915823
1388,2022-08-30,3426.7139029734053,3127.672139855954,3747.6733770993587
1389,2022-08-31,3460.153022673808,3120.094948364583,3769.226849314932
1390,2022-09-01,3450.964687623559,3143.6316452456194,3768.9906526535447
1391,2022-09-02,3524.9325898121424,3199.464499166844,3845.9946079059478
1394,2022-09-05,3640.779855332817,3319.331505933356,3971.506096876637
