,ds,yhat,yhat_lower,yhat_upper
1381,2022-08-23,2549.138014856509,2240.3666514434663,2870.0438831153706
1382,2022-08-24,2498.708165784444,2185.163193978881,2811.532539012774
1383,2022-08-25,2498.1507663501084,2164.9223075655323,2847.9931402920265
1384,2022-08-26,2525.6182191484822,2200.9784425596426,2841.5719862327087
1387,2022-08-29,2676.8254413545455,2348.8023552113877,2983.8700879883027
1388,2022-08-30,2599.9909076271642,2296.765533018964,2946.3408431479406
1389,2022-08-31,2557.7290709524914,2216.9784587709746,2863.254969090792
1390,2022-09-01,2566.443139929983,2226.735024922405,2877.730500562047
1391,2022-09-02,2603.683244342245,2287.7859587102566,2934.762664618224
1394,2022-09-05,2781.5250909126607,2492.587437901171,3116.8460981237217
