,ds,yhat,yhat_lower,yhat_upper
1382,2022-08-24,3129.853551916946,2381.940331598122,3926.8052451988888
1383,2022-08-25,3096.355922762921,2266.209887633232,3835.1410942563934
1384,2022-08-26,3047.629998542815,2293.549644508127,3849.669358011181
1387,2022-08-29,3072.554768975184,2315.2274755476487,3887.511212486482
1388,2022-08-30,3052.3603793621783,2305.422457148864,3810.0259685711703
1389,2022-08-31,3058.7091680306858,2287.076040319164,3818.452740630666
1390,2022-09-01,2997.715301507104,2272.216357261841,3777.8948722583204
1391,2022-09-02,2920.9337845741215,2115.644177110684,3654.131704951241
1394,2022-09-05,2858.8295773683762,2015.095823220814,3611.756388428473
1395,2022-09-06,2811.277002917669,1992.0061979247507,3598.1880909906677
