,ds,yhat,yhat_lower,yhat_upper
1382,2022-08-24,1351.350234927499,1205.3488584160318,1490.6547791577782
1383,2022-08-25,1373.8388122880629,1241.5196325374648,1517.3240105874145
1384,2022-08-26,1400.7810044303333,1247.9363214767777,1547.9410967129695
1387,2022-08-29,1463.30431742515,1307.7667553614701,1616.9894785287388
1388,2022-08-30,1464.5718634421999,1322.201639356262,1609.2030998031673
1389,2022-08-31,1483.9825056443256,1334.7975311470102,1619.669043949992
1390,2022-09-01,1515.0498199511933,1369.8588131614433,1644.5131675736336
1391,2022-09-02,1551.2367340287406,1398.0699570106297,1682.32998215568
1394,2022-09-05,1643.5767862873354,1503.0826507165655,1802.7066751104005
1395,2022-09-06,1654.6983924440171,1507.0136130477044,1796.875352619358
