,ds,yhat,yhat_lower,yhat_upper
1382,2022-08-24,5556.939760744863,-696.4989384840467,12104.393064438611
1383,2022-08-25,5898.621037887863,-537.111250943804,12221.020307328406
1384,2022-08-26,6808.750315109088,149.86823259290708,13095.728723578966
1387,2022-08-29,6068.329550097291,-432.655790503083,12799.603226834924
1388,2022-08-30,6447.362731145464,-745.0730205567553,12590.704546893081
1389,2022-08-31,5750.9364057017265,-679.0519166661898,12438.961771694943
1390,2022-09-01,6111.671776873698,-468.0463730019118,12912.751872319066
1391,2022-09-02,7046.650160196896,828.1277606780252,13263.938444085597
1394,2022-09-05,6368.356740234861,-166.47916183784642,12349.149295954596
1395,2022-09-06,6768.70624231505,317.4500385321013,13253.69567781848
