,ds,yhat,yhat_lower,yhat_upper
1382,2022-08-24,6595.635312586421,4218.731749993823,9022.162058728332
1383,2022-08-25,7279.584761978742,4875.411163908565,9749.216698407005
1384,2022-08-26,6567.6443131011365,4192.90118231494,8968.57759737604
1387,2022-08-29,6406.599313394824,3882.833119563834,8858.947803420137
1388,2022-08-30,6712.412591589059,4320.985185428718,8950.824861019633
1389,2022-08-31,6552.73526867239,4129.084528088199,8960.107474577442
1390,2022-09-01,7213.092033328185,4933.475743876875,9951.484495807928
1391,2022-09-02,6482.127411267689,3924.661645762553,8970.499088779019
1394,2022-09-05,6265.691143326192,3927.8213368791958,8527.64666982481
1395,2022-09-06,6555.923810492321,4310.3748430465685,8916.637989423802
