,ds,yhat,yhat_lower,yhat_upper
1384,2022-08-26,3506.6155281214787,3125.9451940758045,3882.1293241578683
1387,2022-08-29,3676.011848163772,3277.0967856065295,4087.549494681371
1388,2022-08-30,3620.144887648667,3255.1519319244912,4010.124075208728
1389,2022-08-31,3691.2758986405397,3306.893612537251,4102.273995902845
1390,2022-09-01,3703.716080469653,3332.735444339243,4110.808279761646
1391,2022-09-02,3780.820846455783,3375.9820013599883,4139.007839225083
1394,2022-09-05,3864.441368047197,3474.7550137940925,4260.802330632593
1395,2022-09-06,3779.5002437186486,3392.494200231766,4175.234488656728
1396,2022-09-07,3822.836926236618,3434.8786103420807,4237.1838835664175
1397,2022-09-08,3808.0905505222763,3424.336086146794,4226.379718308069
