,ds,yhat,yhat_lower,yhat_upper
1384,2022-08-26,5320.579808504851,4582.544205258464,6129.9104058042
1387,2022-08-29,5331.143952842769,4602.6831306036,6126.779151696811
1388,2022-08-30,5270.241061276014,4513.576254777829,6071.580342420023
1389,2022-08-31,5191.808386833139,4376.670037349192,5955.072743005421
1390,2022-09-01,5193.00805844036,4409.037744836677,5973.786201940381
1391,2022-09-02,5188.375016701732,4385.7342073389855,5991.642171248334
1394,2022-09-05,5153.82136704129,4399.776349394402,5918.279212467907
1395,2022-09-06,5079.533516725631,4242.58945907284,5857.808744089083
1396,2022-09-07,4988.411177791336,4223.159722453905,5768.293032620086
1397,2022-09-08,4977.498953419125,4137.155755178252,5711.270237048394
