,ds,yhat,yhat_lower,yhat_upper
1384,2022-08-26,5742.377020130462,4378.980044153386,7009.271807289957
1387,2022-08-29,5851.536974154614,4619.169568305848,7171.5449134878045
1388,2022-08-30,5850.997666716198,4501.138374451841,7136.696674727782
1389,2022-08-31,5875.317581510977,4606.780149783296,7220.64219578739
1390,2022-09-01,5531.5003919183755,4294.892973484425,6899.4365847948875
1391,2022-09-02,5667.663163936911,4366.387637137226,7002.748069306598
1394,2022-09-05,5329.028634687002,3953.9603981581286,6665.015890852541
1395,2022-09-06,5210.259040987297,3931.1905496575414,6541.28588850792
1396,2022-09-07,5134.486897894015,3784.877963430333,6448.027085266586
1397,2022-09-08,4708.083089451219,3377.0269278858477,5981.206663424604
